episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation
60,11/1/2001 0:00,Show TV,3,Tatlı Hayat,Med Yapım,Haluk Bilginer,Türkan Şoray,Asuman Dabak,"Bora Tekay ,Haluk Özenç ,","Bora Tekay ,",,Family,Comedy,Sibel Tuna,,1
60,5/24/2001 0:00,TRT 1,1,Yeditepe İstanbul,,Zuhal Olcay,Emre Kınay,Uğur Polat,"Ali Ulvi Hünkar,","Türkân Derya Güven,",Derya Köroğlu,Drama,Family,Kaan Erturan,,0
40,1/1/2001 0:00,Kanal D,1,Çifte Bela,,Mumtaz Sevinc,Nadide Sultan,Ayşe Tolga,,"Kasım Uçkan, ",,Comedy,Family,Aslı Öyken Taylan,,0
,1/1/2001 0:00,,1,Hırsız,,Betul Sahin,Mehmet Aslantuğ,Müjdat Gezen,"Yılmaz Okumuş , Fatih çöngevel,","Veli Çelik,","Burak Gülgen,",Drama,Action & Adventure,Tansu Şahin,,0
50,10/9/2000 0:00,TRT 1,2,Üzgünüm Leyla,,Perran Kutman,Selçuk Yöntem,Çetin Tekindor,"Gaye Boralıoğlu , Sertaç Ergin , Sertan Ergin,","Taner Akvardar , ",,Family,Drama,Sadık Deveci,15.3,0
40,8/12/2000 0:00,TRT 1,3,7 Numara,"TRT,Fora Film",Şebnem Sönmez,Engin Alkan,Volkan Girgin,"Ayça Mutlugil, Nuray Uslu","Sadullah Celen ,",,Comedy,Drama,Oya Yüce,,0
52,10/7/1999 0:00,Kanal D,3,Yılan Hikayesi,Yağmur Ajans,Meltem Cumbul,Mehmet Ali Alabora,Ayten Gökçer,Tayfun Güneyer,Nihat Durak,"Ali Oytam,",Drama,Comedy,Osman Yağmurdereli,21.3,0
55,9/15/1999 0:00,Show TV,6,Sıdıka,Limon Film,Feridun Koç,Açelya Akkoyun,Hasibe Eren,Atilla Atalay,"Mahire Ergun, ","Atilla Atalay,",Comedy,Family,Atilla Atalay,12.3,0
60,1/1/1999 0:00,atv,4,Deli Yürek,Sinegraf,Kenan İmirzalıoğlu,Zeynep Tokuş,Melda Bekcan,"Ömer Lütfi Mete, Raci Şaşmaz, Bahadır Özdener, Güliz Kucur,","Osman Sınav,","Bora Ebeoğlu, Cengiz Onural,",Drama,Action & Adventure,Mustafa Şevki Doğan,21,0
50,1/1/1999 0:00,TGRT,1,Aşkın Dağlarda Gezer,,Ayşe Tolga,Özcan Deniz,Şevval Sam,"Ahmet Yurdakul ,","Zeliha Deniz Ergin, ","Ali Oytam,",Drama,Action & Adventure,Mahmut Yılmaz,,0
45,10/29/1998 0:00,atv,3,İkinci Bahar,Erler Film,Şener Şen,Türkan Şoray,Nurgül Yeşilçay,"Sulhi Dölek,","Uğur Yücel, ",,Drama,Family,Mustafa Oğuz,16.45,0
45,7/4/1998 0:00,Kanal D,5,Ruhsar,ANS Production,Mihrace Yeken,Güneş Berberoğlu,Günyol Bakoğlu,"Gani Müjde, Fatih Solmaz","Ümmü Burhan, ",,Comedy,Sci-Fi & Fantasy,Abdullah Oğuz,18.3,0
45,1/1/1998 0:00,atv,1,Affet Bizi Hocam,Erler Film,Özgü Namal,Şevket Çoruh,Ceyda Düvenci,"Safa Önal ,","Halit Refiğ ,",,Drama,Family,Yılmaz Emekçi,,0
65,9/15/1997 0:00,atv,3,Sıcak Saatler,"Sinegraf,Detay Film",Kenan Işık,Mehmet Aslantuğ,Arzum Onan,"Ahmet Yurdakul ,","Osman Sınav,","Bora Ebeoğlu, Cengiz Onural, Oya Ebeoğlu,",Action & Adventure,Drama,"Osman Sınav,",20,0
120,9/8/2019,Show TV,1,Aşk Ağlatır,MF Yapım,Deniz Can Aktaş,Hafsanur Sancaktutan,Yağız Can Konyalı,"Yelda Eroğlu,Yeşim Çıtak",Gökçen Usta,"Metin Arıgül, Ender Gündüzlü",Drama,Romantic,Faruk Bayhan,20,1
130,3/9/2019,FOX,2,Bir Aile Hikayesi,Med Yapım,Songül Öden,Birkan Sokullu,Celil Nalçakan,Deniz Madanoğlu,Merve Girgin Aytekin,Cem Öget,Drama,Family,Fatih Aksoy,20,1
120,11/22/2019,FOX,1,Ferhat ile Şirin,"O3 Medya,Artistanbul",Cansu Dere,Tolga Sarıtaş,Leyla Tanlar,Savaş Korkmaz,Mehmet Ada Öztekin,Hasan Özsüt,Drama,Romantic,"Saner Ayar,Ömer Durak,Mine Yilmaz,Cengiz Çagatay",20,1
120,9/14/2019,Show TV,1,Gülperi,"Tims Productions,Bi Yapım",Nurgül Yeşilçay,Timuçin Esen,Tarık Papuçcuoğlu,"Sema Ergenekon,Eylem Canpolat",Metin Balekoğlu,Cem Öget,Drama,Family,"Timur Savcı,Burak Sağyaşar",20,0
120,6/14/2019,FOX,1,Her Yerde Sen,"	Karga Seven Pictures",Furkan Andıç,Aybüke Pusat,Ali Yağcı,"	Deniz Yeşilgün,Esra Çetek Yılmazer",Ender Mıhlar,Zeynep Bastık,Comedy,Romantic,"Ömer Özgüner,Ümmü Burhan",20,0
120,3/5/2019,Kanal D,1,Yüzleşme,T Company,Uğur Yücel,Hande Doğandemir,Engin Öztürk,"Altuğ Küçük,İsa Yıldız,Pelin Karamehmetoğlu,Beril Köse","Ömer Faruk Sorak,","Ajlan Akyüz,Kivanç Sarıkuş,Mert Tünay",Drama,Romantic,Bülent Turgut,20,0
120,3/19/2018,atv,1,8. Gün,"	Ay Yapım",Burcu Biricik,Musa Uzunlar,Buğra Gülsoy,"Savaş Korkmaz,Seda Çalışır,Toprak Karaoğlu","Çağrı Vila Lostuvalı,",Toygar Işıklı,Drama,Action & Adventure,"Kerem Çatay,Seda Çiftçi,Pelin Distas Yasaroglu,Ali Demir",20,0
120,10/8/2018,atv,1,Can Kırıkları,NTC Medya,Hande Doğandemir,Funda Eryiğit,Seçkin Özdemir,"Gül Gürsoy,Gülsev Karagöz,Zafer Özer Çetinel",Serkan Birinci,Alp Yenier,Drama,Action & Adventure,Mehmet Yiğit Alp,20,0
60,1/1/2018,Kanal D,1,Hıçkırık ,"	Birsel Yapım",Sezgi Sena Akay,Barış Arda Hacıoğlu,Nurseli İdiz,Nil Fırat,"Fırat Gürsoy,",Osman İşmen,Drama,Romantic,"Sevgi Birsel,Sinan Akad",14.15,0
120,6/30/2017,Show TV,1,Kalp Atışı,"	MF Yapım",Gökhan Alkan,Öykü Karayel,Ege Kökenli,"	Makbule Kosif,Eda Tezcan,Gülsev Karagöz,Zafer Özer Çetinel,Melis Veziroğlu Yılmaz,Merve cagiran",Yusuf Pirhasan,"Jingletv,Batuhan Firat",Drama,Comedy,Faruk Bayhan,20,1
140,8/18/2017,Kanal D,1,Bodrum Masalı,TMC,Timuçin Esen,Şevval Sam,Murat Aygen,"Başar Başaran,Emre Özdür",Mehmet Ada Öztekin,Cem Özkan,Romantic,Drama,Erol Avcı,20,0
120,3/28/2017,Kanal D,1,Kara Yazı,Dark Story,Haluk Bilginer,Emre Kınay,"
Ushan Çakır","Sema Ergenekon,Eylem Canpolat",Neslihan Yeşilyurt,"Onur Tarçın,Cem Yildiz",Drama,Family,"Sema Ergenekon,Eylem Canpolat",20,0
120,11/3/2016,FOX,1,Umuda Kelepçe Vurulmaz,Bi Yapım,"	Begüm Birgören",Özge Özder,Mert Yazıcıoğlu,"Yekta Torun,Duygu Tankaş,Hilal Yıldız",Cemal Şan,"Atakan Ilgazdağ,Özlem Tekin",Drama,,"	Burak Sağyaşar",20,0
120,2/17/2016,atv,1,Aile İşi,NTC Medya,Ufuk Özkan,Pelin Akil,Hasibe Eren,"Özgür Evren Heptürk,Ferhat Ergün",Jale Atabey,"Can Bonomo,Can Saban,Ali Rıza Şahenk",Comedy,Drama,"	Mehmet Yiğit Alp",20,0
120,12/6/2015,Kanal D,1,Hayat Mucizelere Gebe,Med Yapım,Damla Colbay,Hande Ataizi,Yiğit Dikmen,Meryem Gür,Kerem Altuğ,"Gürkan Kömürcü,Targan Berk Türe",Romantic,Comedy,Fatih Aksoy,20,1
120,7/2/2015,FOX,1,İnadına Aşk,Sinegraf,Açelya Topaloğlu,Can Yaman,Nilay Duru,"Nehir Erdem,Ayse Ferda Eryilmaz,Asli Gönülay",Osman Sınav,Gökhan Türkmen,Romantic,Comedy,Osman Sinav,20,0
140,4/26/2016,Show TV,1,İstanbul Sokakları,Gold Film,Caner Cindoruk,Gizem Karaca,Rıza Kocaoğlu,"Zülfük Yücel,Zehra Yücel",Adnan Güler,İstanbul Scoring Team,Drama,Action & Adventure,Faruk Turgut,20,0
120,3/18/2016,atv,1,Kehribar,Süreç Film,Gürkan Uygun,Necip Memili,Ayça Varlıer,"Sinan Tuzcu,Ali Aydın",Yıldız Hülya Bilban,Kıraç,Drama,Action & Adventure,Ali Gündoğdu,20,0
120,10/25/2014,atv,3,Kertenkele,Yapım Atölyesi,Timur Acar,Sera Tokdemir,Fatih Doğan,"	Hakan Kandal",Kartal Çidamlı ,"Önder Samet Kök,Mustafa Yazıcıoğlu, Mustafa Ceceli",Comedy,Action & Adventure,"	Yalçın Şen",20,0
90,10/22/2015,atv,1,Analar ve Anneler,Ay Yapım,Hazal Ergüçlü,Binnur Kaya,Okan Yalabık,Berkun Oya,Mehmet Ada Öztekin,Toygar Işıklı,Drama,Family,Kerem Çatay,20,0
100,9/19/2013,Star TV,2,Aramızda Kalsın,TMC,Uğur Yücel,Binnur Kaya,Cengiz Bozkurt,"Ceylan Güleç,Selin Tunç",Hatice Memiş,Aytuğ Yargıç,Family,Comedy,Erol Avcı,20,0
120,6/24/2015,Kanal D,1,Kalbim Ege'de Kaldı,Limon Film,Alper Saldıran,Oya Unustası,Serhat Özcan,"	Gül Abus Semerci",Ömer Uğur,Sezen Aksu,Romantic,Comedy,Hayri Aslan,20,0
135,7/3/2014,FOX,2,Kocamın Ailesi,Mia Yapım,Seray Kaya,Gökhan Alkan,Yeliz Kuvancı,"        Nuray Uslu,Verda Pars,Şeyda Delibaşı",Kemal Uzun,Cem Özkan,Family,Comedy,Banu Akdeniz,20,1
100,1/28/2014,Kanal D,2,Küçük Ağa,Erler Film,Birce Akalay,Sarp Levendoğlu,Zafer Algöz,"Ahmet Yurdakul,Sinan Yurdakul,Ozan Yurdakul",,Aysun Akyüz,Family,Comedy,Türker İnanoğlu,20,0
100,12/4/2014,Show TV,1,Roman Havası,Erler Film,Oya Başar,Levent Ülgen,Petek Dinçöz,"Fethi Kantarcı, Barkın Şenüren, Saygın Delibaş ,Gülşen Okumuş",Hakan Arslan,,Comedy,Family,Türker İnanoğlu,21.45,0
120,3/5/2015,Star TV,1,Serçe Sarayı,"Endemol Türkiye,Bazıfilmler",Songül Öden,Mert Fırat,Alican Yücesoy,"Mustafa Mutlu,Arzu Daştan Mutlu,Nuriye Bilici,Rodi Güven Yalçınkaya,Şebnem Çıtlak",Mesude Erarslan Tekin,"Ali Erkin Çakmak,Murat Tükenmez",Drama,Family,"Kemal Kurçer,Gökhan Tatarer,Soysal Demir,Hakan Eren",20,0
90,8/17/2015,FOX,1,Şehrin Melekleri,Boyut Film,Ümit Kantarcılar,Yiğit Dikmen,Cenk Ertan,Alphan Dikmen,Ilgaz Giritlioğlu,Tamer Ciray,Drama,Action & Adventure,"Salih Karaman,Murat Tokat",20,0
100,10/26/2014,TRT 1,1,Şimdi Onlar Düşünsün,Medyalab Yapım,Şafak Sezer,Açalya Samyeli Danoğlu,Gökçe Özyol,"Oktay Berber,Ömer Pınar",Süleyman Seçik,Cem Erman,Comedy,Romantic,Çağrı Gedikoğlu,20,0
110,8/27/2014,Show TV,2,Yılanların Öcü,Koliba Film,Cemal Toktaş,Hande Soral,Ahmet Varlı,"Makbule Kosif,Eda Tezcan",Cemal Şan,"Kalan Müzik,Hasan Saltık",Drama,,"	Ata Türkoğlu",20,1
110,8/30/2012,TRT 1,4,Zengin Kız Fakir Oğlan,MinT Production,Hüseyin Avni Danyal,Ayda Aksel,Ufuk Özkan,"Birol Güven,Yaşar Arak,Caner Güler",Hasan Tolga Pulat,Aydın Sarman,Family,Comedy,"	Birol Güven",20,0
70,3/21/2013,Kanal D,3,Galip Derviş,Barakuda Film,Engin Günaydın,Algı Eke,Ersin Korkut,"	Andy Breckman",Barış Pirhasan,Tolga Çebi,Crime,Comedy,"Ahmet Kayımtu,Mahmut Kayımtu",20,1
100,12/8/2013,Show TV,1,Aşk Ekmek Hayaller,ANS Production,Müjde Ar,Sinan Tuzcu,Berna Laçin,,Abdullah Oğuz,,Drama,Romantic,"	Abdullah Oğuz",20,1
110,9/3/2014,Kanal D,1,Benim Adım Gültepe,D Productions,Mete Horozoğlu,Ayça Bingöl,İlker Kızmaz,Vural Yaşaroğlu,Zeynep Günay Tan,Uğur Akyürek,Drama,History,E. Ayşe Durmaz,20,0
90,7/1/2013,Star TV,1,Benim Hala Umudum Var,Gold Film,Gizem Karaca,Berk Oktay,Şükrü Özyıldız,Deniz Akçay,Nisan Akman,Alp Yenier,Romantic,Drama,Faruk Turgut,21,0
110,2/27/2014,Kanal D,1,Boynu Bükükler,Barakuda Film,Sedef Avcı,Ahmet Saraçoğlu,Murat Akkoyunlu,Cüneyt İnay,Ömer Uğur,"Sertaç Özgümüş,Selim Siyami Sümer",Comedy,,"Ahmet Kayımtu,Mahmut Kayımtu",20,0
90,9/14/2012,Star TV,2,Dila Hanım,Gold Film,Erkan Petekkaya,Hatice Şendil,Mahir Günşiray,Zülkuf Yücel,Onur Tan,"Cahit Berkay,Mazlum Çimen,Erdem Dogan,Gürsoy Tanç",Romantic,Drama,Faruk Turgut,20,1
120,6/26/2013,atv,1,Doksanlar,MinT Production,Sinem Yener Ekşioğlu,Renan Bilek,Gamze Gözalan,"Birol Güven,Emre Kavuk,Sinan Biçici,Evrim Aytaş",Müfit Can Saçıntı,"Burcu Güven,Aydın Sarman",Comedy,History,Birol Güven,20,0
90,3/22/2014,FOX,1,Düşler ve Umutlar,Limon Film,Berkehan Tüter,Mustafa Uğurlu ,Çağdaş Onur Öztürk,Oya Yüce,Serpil Kurtça,Tamer Çıray,Drama,Family,Hayri Aslan,20,0
120,8/31/2013,FOX,2,Fatih Harbiye,Koliba Film,Kadir Doğulu,Neslihan Atagül,Yunus Emre Yıldırımer,Hayriye Ersöz,Sadullah Celen,"Emre Dündar,Murat Uncuoglu,Cem Yildiz",Drama,Romantic,Ata Türkoğlu,20,1
100,2/3/2014,Show TV,1,Her Sevda Bir Veda,C Yapım,Nik Xhelilaj,"Elif Atakan",Devrim Evin,"Gökhan Horzum,Murat Koca",Dilek Keser,Alpay Göltekin,Romantic,Drama,"Seyhan Kaya,Birol Akbaba",20,0
90,9/7/2012,atv,2,Huzur Sokağı,"Set Film,atv",Selin Demiratar,Kutsi,Güven Hokna,"Selçuk Akman	,Hasan Burak Kayaci,Ayça Mutlugil,Sule Yüksel Senler,Eda Tezcan	,Alev Toprakoglu Uzma	,Kubilay Zerener	,Hale Çalap,Funda Çetin",Senol Sönmez,,Drama,Romantic,"Cem Akyoldas,Erdogan Sevinç,Osman Enes Yakut",20,1
100,9/13/2013,Kanal D,1,Kayıp,D Productions,Mete Horozoğlu,Aslı Enver,İlker Kaleli,Elif Usman,Zeynep Günay Tan,Gökhan Kırdar,Drama,Family,Ayşe Durmaz,20,0
95,2/13/2013,Kanal D,2,Merhamet,Most Production,Özgü Namal,İbrahim Çelikkol,Mustafa Üstündağ,Mahinur Ergun,Çağatay Tosun,Ferhat Livaneli,Drama,Romantic,Gül Oğuz,20,1
80,6/17/2009,atv,1,Altın Kızlar,Play Prodüksiyon,Hülya Koçyiğit,Türkân Şoray,Fatma Girik,"Şebnem Çıtak, Feride Çiçekoğlu,","Levent Demirkale,","Mehmet Can Erdogan, Okan Samil",Comedy,,"Armağan Çağlayan,",20,1
90,3/30/2008,atv,3,Benim Annem Bir Melek,BKM Film,Oya Başar,Tarık Ünlüoğlu,Dolunay Soysert,Vasıf Küçükoruç,Hakan Algül,Targan Türe,Comedy,Family,"Elif Yakarçelik,",20,0
90,9/4/2007,FOX,3,Bez Bebek,Focus Film,Evrim Akın,Tan Sağtürk,Alpay Atalan,"Nilbanu Engindeniz,","Serpil Kurtça,","Cenk Durmazel, Cenk Sarkuş,",Kids,Comedy,Nilgün Sağyaşar,20,0
90,11/18/2008,atv,2,Canım Ailem,TMC,Uğur Yücel,Ozan Güven,Şebnem Bozoklu,"Selin Tunç, Nihat Emültay, Ceylan Güleç, Ayhan Sonyürek,","Sadullah Celen,","Deniz Tuzcuoglu,Targan Berk Türe",Family,Comedy,Erol Avcı,20,0
90,9/17/2010,,1,Deli Saraylı,Süreç Film,Perran Kutman,Çetin Tekindor,Köksal Engür,"Gökhan Karagülle,","Gani Müjde, ",,Comedy,History,Ali Gündoğdu,20,0
90,9/13/2006,Kanal D,5,Yaprak Dökümü,Ay Yapım,Halil Ergün,Güven Hokna,Bennu Yıldırımlar,"Ece Yörenç,","Mesude Erarslan,","Toygar Işıklı,",Drama,Family,Kerem Çatay,20,1
90,12/23/2009,Star TV,1,Makber,Pana Film,Seda Bakan,Devrim Nas,Gamze Karaman,"Şebnem Askoy, Ozan Aksungur, Umut Açıkalın,","Kemal Uzuni,","Cem Erman,",Drama,Romantic,Raci Şaşmaz,20,0
90,12/13/2007,atv,3,Parmaklıklar Ardında,Play Prodüksiyon,Selda Alkor,Serra Yılmaz,Yelda Reynaud,"Feride Çiçekoğlu, Şebnem Çıtak,","Hakan Gürtop, ","Kerem Güney,",Crime,Drama,"Ayşe Durukan, Uğur Başaran,",20,1
90,7/5/2010,atv,2,Şen Yuva,BKM,Ceyda Düvenci,Levent Üzümcü,Ayşegül Atik,"Emrah Serbes, Emrah Sinanoğlu,","Hakan Algül,",,Comedy,Family,"Necati Akpınar,",20,0
90,7/8/2009,Kanal D,3,Geniş Aile,D Productions,Ufuk Özkan,Fırat Tanış,Rasim Öztekin,"Cüneyt İnay,","Ömer Uğur,","Gripin,",Comedy,Family,"Ahmet Kayumtu, Lale Eren,",20,0
90,7/14/2010,Kanal D,2,Küçük Sırlar,Tims Productions,Sinem Kobal,Burak Özçivit,Merve Boluğur,"Nukret Bıçakçı, Aylin Alıveren,","Cevriye Demir,","Teoman,",Drama,,"Timur Savcı,",20,0
90,3/15/2010,Show Tv,2,Türk Malı,Kuzey Production,Şafak Sezer,Binnur Kaya,Hazal Şenel,"Tayfun Güneyer,","Tayfun Güneyer,","Gokdeniz Karayaka, Rapozof,",Comedy,,"Ali Gündoğdu, Mehmet Yiğit Alp,",20,0
90,6/10/2008,Kanal D,3,Küçük Kadınlar,D Productions,Özge Borak,Hande Soral,Fulya Zenginer,"Deniz Akçay,","Hakan Arslan,","Kıraç, Cem Yıldız,",Drama,,"Ayşe Durmaz,",20,1
90,9/30/2011,TNT,1,Dedektif Memoli,Süreç Film,Emre Kızılırmak,Burcu Esmersoy,Özlem Yılmaz,Tayfun Güneyer,Tayfun Güneyer,Ali Otyam,Action,Crime,Ali Gündoğdu,20,0
100,2/9/2011,FOX,2,Canan,Koliba Film,Gamze Özçelik,Özlem Conker,Erdinç Gülener,"Orçun Okşan, Mert Meriçli, Nilüfer Zeynep Özçelik, Yelda Eroğlu,",Bahadır İnce,Nail Yurtsever,Drama,,Ata Türkoğlu,20,0
90,7/11/2011,atv,1,Kurşun Bilal,J Plan,Gökhan Mumcu,Arda Kural,Leyla Göksun,Hasan Karacadağ,Hasan Karacadağ,Alpay Göltekin,Drama,Action,Hasan Karacadağ,20,0
90,2/26/2011,Star TV,1,İzmir Çetesi,Pastel Film,Kadir İnanır,Kenan Ece,Mustafa Üstündağ,Alican Yaraş,Murat Şeker,"Ceyda Pirali,",Comedy,,Yaşar İrvül,20,0
90,8/8/2011,TRT 1,2,Yamak Ahmet,Okur film,Ferit Aktuğ,Kemal Uçar,Başak Parlak,"Tanıl Arayancan, Tufan Gündüz, Aslı Alabaz Pehlivan, Ramazan Demirli, Eda Tezcan,",Tuba German,,History,Drama,Ahmet Okur,20,0
90,2/6/2010,atv,2,Gönülçelen ,aSis Yapım,Tuba Büyüküstün,Cansel Elçin,Onur Saylak,"Gül Dirican, Sertaç Ergin, Ali Demir, Muharrem Buhara,","Cevdet Mercan, ",,Comedy,Drama,Tomris Giritlioğlu,20,0
90,1/6/2009,Star TV,4,Papatyam,MinT Production,Metin Akpınar,Nilgün Kasapbaşoğlu,Deniz Oral,Murat Aras,Bora Tekay,Aydin Sarman,Comedy,Family,Birol Güven,20,0
95,1/1/2010,atv,1,Bitmeyen Şarkı,Gold Film,Bergüzar Korel,Bülent İnal,Tuncer Salman,"Deniz Akcay Katiksiz, Özen Rodop,  Onur Ugras,","Sadullah Celrn, ",Febyo Tasel,Drama,Romantic,Faruk Turgut,20,0
90,7/1/2009,atv,2,Unutulmaz,Stil Medya,Serhan Yavaş,Sinem Öztufan,Özlem Yılmaz,"Haldun Ünsal, İhsan Aydın,","Ersoy güler, ",Halil Kurt,Drama,,Ahmet Bayram,20,0
80,10/19/2011,TRT 1 ,1,Mavi Kelebekler,Sinevizyon,Alma Terzic,Burak Hakkı,Oya Okar,Ümit Demiray,Metin Balekoğlu,Kıraç,Drama,War & Politics,Rezzan Diniz,20,0
120,12/10/2011,Kanal D,1,Keşanlı Ali Destanı,D Productions,Nejat İşler,Belçim Bilgin,,"Özen Yula, Zeynep Özlem Havuzlu, Hale Akınlı,",Çağan Irmak,"Aria, Bora Ebeoğlu, Cengiz Onural, Cenk Erdoğan, Ceyda Pirali, Yalçın Tura,",Drama ,War & Politics,Emel S. Aksoy,20,1
90,7/14/2008,Kanal D,5,Akasya Durağı,Erler Film,Zeki Alasya,Cezmi Baskın,Levent Ülgen,Resul Ertaş,"Yaşar Seriner, ",Aria,Comedy,Family,Türker İnanoğlu,20,0
90,9/27/2012,Kanal D,1,Veda,Med Yapım,Mehmet Aslantuğ,Fahriye Evcen,Maral Üner,Sündüz Haşar,Merve Girgin,Zülfü Livaneli,Drama,History,Fatih Aksoy,20,0
120,4/13/2013,TRT 1,2,Osmanlı Tokadı,Duka Film,Uğur Çavuşoğlu,Alper Kul,İsmail Hacıoğlu,"Resul Ertas,Necati Sahin",Mustafa Sevki Dogan,"Engin Arslan,Mayki Murat Basaran",Comedy,,"Inci Gulen,Ozkan Ipek,Sevda Kaygisiz",20,0
120,10/25/2011,Show TV,3,Pis Yedili,Tükenmezkalem Film,Ayşegül Aldinç,Turan Özdemir,Kadir Dogulu,"Tufan Karaköse,Gani Müjde","Asli Atakuru,","Tamer Ciray,Murat Özdemir",Comedy,,Selim Aydogdu,20,0
90,7/8/2014,FOX,1,Ruhumun Aynası,Bando Yapım,Tuba Ünsal,Filiz Ahmet,Özgürcan Çevik,Zehra Çelenk,Bülent İşbilen,"Mehmet Andiçen,Baris Aryay",Comedy,Family,"Müge Turalı,Mehmet N. Karaca",20,0
100,4/26/2014,atv,2,Tatar Ramazan,TMC,Bülent İnal,Burak Yamantürk,Burcu Kara,Can Sinan,Cevdet Mercan,Erol Mutlu,Drama,Crime,Erol Avcı,22.15,1
90,10/2/2011,Kanal D,3,Umutsuz Ev Kadınları,"Med Yapım,Abc Studios",Songül Öden,Bennu Yıldırımlar,Ceyda Düvenci,"Meryem Gür,Gül Gürsoy,Yelda Eroğlu",Özlem Bayşu Ünlü,"Ayşe Önder,Ümit Önder",Comedy,Crime,Fatih Aksoy,20,1
