episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation
100,2/5/2014,Kanal D,1,Zeytin Tepesi,MF Yapım,Aslıhan Gürbüz,Tayanç Ayaydın,Salih Bademci,"Gülnaz Yöş Saraçoğlu,Güneş Saraçoğlu",Barış Yöş,Erik Satie,Drama,Romantic,Fatih Aksoy,20,1
90,7/4/2013,atv,1,Aldırma Gönül,BKM,Şahin Irmak,Tülin Özen,Nadir Sarıbacak,"Meriç Demiray,Barış Erdoğan,Cenk Boğatur,Cem Görgeç",Hakan Algül,,Comedy,sit-com,Necati Akpınar,20,1
90,9/16/2011,atv,2,Alemin Kralı,Süreç Film,Oya Başar,Şafak Sezer,Evrim Akın,"Kemal Kenan Ergen,Kamuran Süner",Derya Yaruç,Günay Uysal,Comedy,sit-com,"Ali Gündoğdu,İnci Gündoğdu",20,0
100,9/25/2011,TRT 1,3,Avrupa Avrupa,Mia Yapım,Tarık Papuççuoğlu,Selen Seyven,Burak Serdar Şanal,"Fethi Kantarcı,Saygın Delibaş,Barkın Şenüren",Şafak Bal,"Alper Atakan,Mehmet Erdem",sit-com,Comedy,Banu Akdeniz,20,0
90,2/27/2003,Kanal D,7,Sihirli Annem,Süreç Film,İnci Türkay,Şahap Sayılgan,Nevra Serezli,Gamze Özer,"Kartal Çidamlı, ",Yongün Keymen,Sci-Fi & Fantasy,,İnci Kırhan Gündoğdu,20,0
90,5/28/2012,Kanal D,1,Sultan,İstanbul Mass Media,Nurgül Yeşilçay,Şahin Irmak,Merve Altınkaya,"Yıldız Bayazıt, Seray Şahiner,","Azime Kanal, ","
Cem Erman",Drama,Comedy,Cengiz Keten,20,0
90,8/26/2012,kanal D,1,Kötü Yol,Gold Film,Cansel Elçin,Şükran Ovalı,İlker Aksum,"Hürer Ebeoglu, Zülküf Yücel,",Nisan Akman,Mazlum Çimen,Drama,,Faruk Turgut,20,1
75,2/7/2012,TRT 1,1,Kurt Kanunu,Pana Film,Ümit Acar,Ali Başar,Pelin Akil,"Selma Çergel, Ayşegül Hacıosmanoğlu, Mediha Polat,","Yasin Uslu,",İskender Paydaş,Action & Adventure,,Bahadır Özdener,20,1
60,9/12/2011,atv,1,Al Yazmalım,Ay Yapım,Seçkin Özdemir,Özge Özpirinçci,Barış Falay,Mahinur Ergun,Nisan Akman,Toygar Işıklı,Drama,Romantic,Kerem Çatay,20,0
100,4/9/2013,Show TV,1,Her Şey Yolunda,Limon Film,İpek Tuzcuoğlu,Bülent Alkış,Aslıhan Güner,Caner Güler,Ömer Uğur,,Romantic,Comedy,Hayri Aslan,20,0
90,9/14/2012,Kanal D,1,Kayıp Şehir,D Productions,Gökçe Bahadır,Nik Xhelilaj,İlker Kaleli,"Yıldırım Türker,Murat Uyurkulak,Seray Şahiner,Tuğrul Eryılmaz,Yelda Eroğlu",Cevdet Mercan,Sezen Aksu,Drama,Family,E. Ayşe Durmaz,20,0
90,9/7/2011,Kanal D,2,Kuzey Güney,Ay Yapım,Kıvanç Tatlıtuğ,Öykü Karayel ,Buğra Gülsoy,"Ece Yörenç,Melek Gençoğlu","Hilal Saral
",Toygar Işıklı,Drama,Action & Adventure,Kerem Çatay,20,0
90,10/9/2012,FOX,1,Merhaba Hayat,Medyapım,Vahide Perçin,Yetkin Dikinciler,Keremcem,Deniz Büyükkirli,Hülya Bilban,"Ercüment Orkut,Mehmet Cem Tuncer,Nail Yurtsever",Drama,Medical,Fatih Aksoy,20,1
90,8/9/2010,FOX,3,Yer Gök Aşk,Avşar Film,Birce Akalay,Murat Ünalmış,Burak Hakkı,"Sema Ergenekon,Eylem Canpolat,Berfu Soner",Canan Çelik,Aytekin Ataş,Drama,Romantic,"	Şükrü Avşar",20,1
90,2/2/2013,atv,1,Bizim Okul,Erler Film,Zeki Alasya,Cezmi Baskın,Levent Ülgen,Resul Ertaş,Yaşar Seriner,Murat Evgin,Comedy,,"	Türker İnanoğlu",20,0
100,9/30/2013,Kanal D,1,Fatih,Med Yapım,Mehmet Akif Alakurt,Gamze Özçelik,Seda Akman,"Pınar Uysal,Funda Çetin","Merve Girgin,",Firat Yukselir,Drama,History,Fatih Aksoy,20,0
90,7/1/2013,Kanal D,1,Güzel Çirkin,Erler Film,Naz Elmas,Ali Sunal,Cahit Gök,Rüya İşçileri,Kemal Uzun,,Crime,Comedy,İlker İnanoğlu,20,0
90,9/30/2012,FOX,1,Harem,Tükenmezkalem Film,Levent Üzümcü,Nurseli İdiz,Belma Canciğer,Gani Müjde,Süleyman Seçik,,sit-com,Comedy,Gani Müjde,20,0
80,3/12/2012,TRT 1,2,Bir Zamanlar Osmanlı,Herşey Film,Türkân Şoray,Özcan Deniz,Tolga Karel,"Ertan Kurtulan,Hilal Yıldız,Gürsel Korat,Abdullah Akın",Altan Dönmez,Alpay Göltekin,History,Drama,Burhan Özkan,20,0
90,9/28/2012,FOX,1,Esir Şehrin Gözyaşları,"	Koliba Film",Yiğit Özşener,Sedef Avcı,Fırat Doğruloğlu,Sevgi Yılmaz,Mehmet Çağatay Tosun,,Drama,Romantic,"	Ata Türkoğlu",20,0
90,3/9/2012,Show TV,2,Eve Düşen Yıldırım,Med Yapım,Murat Han,Gizem Karaca,Seda Akman,"	Meryem Gül",Feride Kaytan,"Ercüment Orkut,Mehmet Cem Tuncer",Drama,Romantic,Fatih Aksoy,22.3,1
90,3/25/2011,atv,1,Tövbeler Tövbesi,Limon Film,"	Tuba Ünsal",Cemal Toktaş,Keremcem,"Zülküf Yücel,Hürer Ebeoğlu",Aydın Bulut,Tamer Ciray,Drama,Romantic,Hayri Aslan,20,0
100,12/28/2006,Show TV,4,Doktorlar,Med Yapım,Kutsi,Yasemin Ergene,Leyla Göksun,"Ebru Hacioglu,Hande Turel",Merve Girgin,Arikan Sirakaya,Drama,Medical,Fatih Aksoy,20,1
90,9/16/2011,atv,2,Alemin Kıralı,Süreç Film,Oya Başar,Şafak Sezer,Evrim Akın,"Kemal Kenan Ergen, Kamuran Süner,","Derya Yaruç, ","Kadıköy Acil, Sancak, Rapozof,",Comedy,sit-com,"Ali Gündoğdu, İnci Gündoğdu,",20,0
90,8/10/2011,atv,1,Aşağı Yukarı Yemişlililer,BKM Mutfak,Şahin Irmak,Bülent Emrah Parlak,Murat Eken,"Gülhan Tekin, Şahin Irmak, Bülent Emrah Parlak, Murat Eken, Büşra Pekin,",Şahin Altuğ,,Comedy,,Şahin Altuğ,20,0
100,8/20/2010,Star TV,1,Umut Yolcuları,Erler Film,Zuhal Olcay,Yetkin Dikinciler,Haluk Piyes,Ahmet Yurdakul,Ümmü Burhan,Murat Evgin,Crime,,Türker İnanoğlu,20,0
90,8/8/2008,atv,2,Doludizgin Yıllar,Sinegraf,Yusuf Ömer Sınav,Selen Seyven,Arda Kural,"Yigit Güralp, Aybars Bora Kahyaoglu,",Osman Sinav,Cem Erman,Drama,,Osman Sınav,20,0
100,8/30/2007,Kanal D,2,Annem,Gold Film,Vahide Perçin,Duygu Yetiş,Talat Bulut,Gamze Özer,Faruk Teber,Kıraç,Drama,,Faruk Turgut,20,0
90,5/26/2008,Star TV,1,Baba Ocağı,Sinetel Film,Engin Şenkan,Ali Sürmeli,Ali İpin,"H. Baykut Badem, Arzu Birol, Filiz Ekinci, Emin Gürsoy,",Mustafa Şevki Doğan,Aytekin Ataş,Comedy,Family,İbrahim Mertoğlu,20,0
90,9/20/2007,atv,3,Elveda Rumeli,Adam Film,Erdal Özyağcılar,Şebnem Sönmez,Gülçin Santırcıoğlu,Alican Yaraş,Serdar Akar,Ayşe Önder,Drama,History,Tarkan Karlıdağ,20,0
90,2/14/2000,TRT 1,9,Bizim Evin Halleri,Focus Film,Beyhan Saran,Meral Niron,Emel Göksu,"Tolga Aydoğan, Erkan Birgören, Ayşem Özge Yoldaş, Aynur Ulusoy,","Tülay Eratalay, ",,Family,Comedy,"Osman Baş, Nilgün Sağyaşar, Erol Uyanık, Adil Daldal,",20,0
90,9/14/2009,Star TV,1,Kül ve Ateş,Asis Film,Serhat Tutumluer,Başak Köklükaya,Hakan Balamir,"Hale Çalap Demiray, Feza Doğru, Rüya İşçileri, Ayhan Sonyürek,",Cemile Kırmızı Karadaş,,Drama,,"Ilgaz Giritlioglu, Bahadir Atay,",20,0
90,7/18/2008,TRT 1,1,Mert ile Gert,Plato Film Production,Emre Altuğ,Ragga Oktay,Begüm Birgören,"Mahinur Ergun, Kubilay Tunçer,",Hakan Algün,,Comedy,,Snian Çetin,20,0
90,9/10/2006,atv,3,Selena,Süreç Film,Sinem Kobal,Gökhan Keser,Cansu Demirci,"Gani Müjde, Fatih Solmaz, Emre Bülbül, Nilüfer Yenidoğan, Gökhan Karagüle,",Bora Onur,Temel Zümrüt,Sci-Fi & Fantasy,Comedy,"Ali Gündoğdu, İnci Kırhan Gündoğdu,",20,0
90,1/1/2007,Star TV,2,Vazgeç Gönlüm,Gold Film,Murat Han,İrem Altuğ,Bulut Aras,"Ayşe Teker, Nur Araboğa, Zeliha Doğan, Rasim Doğan, Deniz Kamacı, Sevgi Yılmaz, Devrim Yıldız Özdemir, Berfu Soner,",Adnan Güler,Cahit Berkay,Drama,,Faruk Turgut,20,0
80,5/13/2008,Star TV,2,Yol Arkadaşım,aSis Yapım,Özge Özberk,Polat Bilgin,Sinan Tuzcu,Çağan Irmak,Irmak Çığ,Aria,Drama,Comedy,"Ilgaz Giritlioğlu, Bahadır Atay,",20,0
90,1/1/2008,TRT 1,1,Dur Yolcu,TRT,Hazım Körmükçü,Selin Demiratar,Cem Kılıç,Ömer Erbil,"Hakan Şahin, ",,Drama,History,Ahmet Yenilmez,20,0
80,1/1/2006,Star TV,2,Köprü,Koliba Film,Erdal Beşikçioğlu,Ayşegül Ünsal,İpek Karapınar,Ozan Yurdakul,"Sadullah Şentürk, ",,Drama,Action & Adventure,Ata Türkoğlu,20,0
100,9/7/2007,Kanal D,1,Menekşe ile Halil,Ay Yapım,Sedef Avcı,Kıvanç Tatlıtuğ,Hasan Küçükçetin,"Melek Gençoğlu, Ece Yörenç, Elif Şafak,",Uluç Bayraktar,Toygar Işıklı,Drama,Romantic,Kerem Çatay,20,0
90,7/2/2008,Kanal D,1,Cesaretin Var Mı Aşka,,Engin Altan Düzyatan,Özge Özpirinçci,Tarık Papuççuoğlu,,Ömer Uğur,Jehan Barbur,Drama,Comedy,Hayri Aslan,20,0
90,7/3/2007,Kanal D,1,Genco,D Productions,Alpay Kemal Atalan,Selen Seyven,Hazal Kaya,İlker Barış,Kemal Uzun,Cem Erman,Drama,Family,"Olcay Tomakin, Abdullah Yayla, Yahya Tomakin, Necmi Kolayca, Serkan Ipek,",20,0
90,1/21/2008,Show TV,1,Pars: Narkoterör,Sinegraf,İbrahim Çelikkol,Seda Bakan,,"Aybars Bora Kahyaoğlu, Selman Kılıçaslan, Onur Şener,",Metin Günay,Gökhan Kırdar,Drama,Action & Adventure,Osman Sınav,20,0
50,3/10/1998,Kanal D,2,Eyvah Babam,Doku Film,Haluk Bilginer,Yıldız Asyalı,Yeşim Küçük,Ünal Küpeli,Ünal Küpeli,,Comedy,Family,,20,0
45,10/6/1998,Show TV,2,Sırılsıklam,Gold Film,İbrahim Erkal,Melis Yamalıoğlu,Süleyman Turan,"Arda Uskan,Kubilay Zerener,Selçuk Akman",Temel Gürsu,"İbrahim Erkal,Volkan Gücer",Drama,Action & Adventure,İskender Ulus,20,0
90,1/1/2008,TRT 1,1,Süper Babaanne,Avşar Film,Murat Kubilay,Asuman Dabak,Mustafa Uzunyılmaz,"Gani Müjde, Gökhan Karagülle,","Serkan Kızıldağ, ",,Family,Comedy,Şükrü Avşar,20,0
60,7/7/2006,Kanal D,2,Acemi Cadı,D Productions,Şenay Gürler,Merve Boluğur,Nergis Kumbasar,Haluk Özenç,Feride Kaytan,"Murat Evgin, Temel Zümrüt,",Family,Sci-Fi & Fantasy,"Ahmet Kayimtu, Umit Ozer,",20,0
80,7/10/2004,Show TV,3,Cennet Mahallesi,Erler Film,Melek baykal,Müjdat Gezen,Özkan Uğur,"Erdoğan Tünaş, Resul Ertaş,","Serdar Akar, ",Aria,Comedy,,Türker İnanoğlu,20,0
60,6/25/2004,Show TV,2,En İyi Arkadaşım,,Hamdi Alkan,Yılsu Sarper,Görkem Yeltan,"Birol Elginöz, Nur Özlem Elginöz, Resul Ertas,",Hamdi Alkan,Erim Ardal,Comedy,Sci-Fi & Fantasy,Hamdi Alkan,20,0
80,9/10/2007,atv,1,Fesupanallah,Pana Film,Şafak Sezer,Kadir Çöpdemir,Hasan Kaçan,"Hasan Kaçan, Ozan Aksungur, Behiç Pek, Ali Demirel, Nil Güleç Ünsal,",Zübeyr Şaşmaz,Erkin Koray,Drama,Comedy,Raci Şaşmaz,20,0
70,7/3/2006,Kanal D,1,Fırtına,,Burçin Terzioğlu,Murat Yıldırım,Zerrin Sümer,Gökhan Horzum,Metin Balekoğlu,,Family,Comedy,Necati Akpınar,20,0
80,1/20/2005,Kanal D,3,Gümüş,ANS Production,Kıvanç Tatlıtuğ,Songül Öden,Ekrem Bora,"Eylem Canpolat, Berfu Ergenekon, Sema Ergenekon,","Tarık Alpagut, ",Cem Erman,Drama,Romantic,"Lale Eren, Ahmet Kayimtu, Irfan Sahin,",20,0
100,9/16/2005,Kanal D,2,Ihlamurlar Altında,Avşar Film,Bülent İnal,Tuba Büyüküstün,Özge Borak,"Nilgün Öneş, Neslihan Eyüboğlu, Ayşe Teker,",Aydın Bulut,İntizar,Drama,,Şükrü Avşar,22,0
70,1/1/2006,Star TV,1,Kaybolan Yıllar,Base Productions,Saruhan Hünel,Yeşim Büber,Burak Hakkı,"Sergin Akyaz, Seçil Akyaz Çolak, Makbule Kosif, Zehra Güleray,",Gülçin Gülbahçe,Bolahenk,Drama,Romantic,Sergin Akyaz,20,0
85,9/3/2007,Show TV,1,Kuzey Rüzgârı,Duka Film,Kadir İnanır,Oktay Kaynarca,Ebru Kocaağa,"Baykut Badem, Filiz Ekinci, Arzu Birol,",Mustafa Şevki Doğan,"Aydoğan Ataş, Soner Akalın,",Romantic,Action & Adventure,İbrahim Mertoğlu,20,0
80,9/18/2006,Kanal D,1,Sağır Oda,Tims Productions,Orhan Kılıç,Çağla Kubat,Engin Cezzar,"Ahmet Saatçioğlu, Memed Onur Özkök, Hakan Karahan, Ayhan Bozkurt, Sinan Hıncal,","Serdar Akar, ",Gökhan Kirdar,Action & Adventure,,"Timur Savcı, Cüneyt Özdemir,",,0
,1/1/2007,Star TV,1,Sır Gibi,FM Yapım,İsmet Üstekin,Kaya Erdaş,Tuğçe Ersoy,Neslihan Eyüboğlu,Şengül Halat Atak,Nail Yurtsever,Drama,Familly,,,0
90,10/10/2005,atv,2,Şöhret,Gold Film,Ahu Türkpençe,Atilla Saral,Murat Ünalmış,Deniz Akçay,Bahadır İnce,eMg müzik,Drama,,Faruk Turgut,20,0
80,10/12/2004,Kanal D,3,Yabancı Damat,Erler Film,Erdal Özyağcılar,Sumru Yavrucuk,Nehir Erdoğan,"Devin Çinar, Selin Tunç, Serap Gazel, Suna Dölek, Sulhi Dölek, Güliz Kucur,","Yağmur Taylan, ",Gökhan Kirdar,Drama,Romantic,Türker İnanoğlu,20,0
45,1/1/2005,Show TV,3,Yanık Koza,Limon Film,Yavuz Bingöl,Başak Köklükaya,Çolpan İlhan,"N. İpek Aksoy, Ertan Kurtulan, Aydın Üredi,",,Tamer Çıray,Drama,,Hayri Aslan,20,0
65,10/16/2002,Show TV,3,Ekmek Teknesi,Sinegraf,Peker Açıkalın,Sermin Hürmeriç,Kadir Çöpdemir,"Raci Şaşmaz, Mehmet Turgut, Hasan Kaçan, Elif Aktuğ, Bahadır Özdener, Ömer Lütfi Mete,","Osman Sınav, ",İncesaz,Drama,Comedy,"Osman Sınav Raci Şaşmaz,",20,0
65,9/14/2004,atv,3,Aliye,TMC,Sanem Çelik,Ayla Algan,Nejat İşler,"Şebnem Çitak, Güliz Kucur, Ayfer Tunç,",Kudret Sabancı,Kıraç,Drama,Romantic,Erol Avcı,21.45,0
60,9/12/2002,Kanal D,3,Kınalı Kar,Yağmur Ajans,Emrah,Özlem Conker,Engin Şenkan,"Gamze Özer, Özgür Evren Heptürk,",Taner Akvardar,Ali Otyam,Drama,,Osman Yağmurdereli,21,0
60,6/30/2004,Kanal D,2,Haziran Gecesi,Gold Film,Özcan Deniz,Naz Elmas,Nebahat Çehre,"Mahinur Ergün, Memed Onur Özkök,",Andaç Haznedaroğlu,Gökhan Kırdar,Drama,,Faruk Turgut,21,0
70,4/1/2006,Kanal D,1,Gönül,Masalevi,Gülben Ergen,Ragıp Savaş,Güven Kıraç,"Gani Müjde, Emre Bülbül, Nilüfer Yenidoğan, Fatih Solmaz,",Faruk Teber,,Drama,Comedy,Ali Gündoğdu,21,0
70,12/14/2014,Star TV,2,Kadın İsterse,"MinT Production, Ay Yapım",Hülya Avşar,Cihan Ünal,Deniz Çakır,"Yelda Açıkgöz,Nur Özlem Açıkgöz,Birol Güven,Murat Aras",Bora Tekay,,Drama,Comedy,"Birol Güven,Kerem Çatay",20,0
90,3/7/2005,atv,2,Aşka Sürgün,atv,Mahsun Kırmızıgül,Beren Saat,İzzet Günay,"Pınar Ordu,Neşe Cehiz,İlker Barış,Deniz Sertbarut,Cüneyt Bolak,Bilal Babaoğlu,Barış Pirhasan",Cemal Şan,"Kemal Sahir Gürel,Erol Mutlu",Drama,Action & Adventure,"Menderes Demir,Selim Eltas,Tomris Giritlioglu	",20,0
60,10/22/2003,Show TV,2,Alacakaranlık,Paranoya TV,Uğur Yücel,Kenan İmirzalıoğlu,Tuncel Kurtiz,"Sulhi Dölek,Su Kaya,Güliz Kucur,Alican Yücel",Yağmur Taylan,Aytug Yargiç,Crime,Action & Adventure,"Uğur Yücel,Defne Kayalar",20,0
30,12/12/2005,TV8,1,İki Arada Aşk,MinT Production,Halit Akçatepe,Deniz Çakır,Volkan Ünal,"Murat Aras,Metin Açıkgöz,Birol Güven",, Sibel Kocataş ,Comedy,,Birol Güven,20,0
90,9/14/2003,atv,2,Kurşun Yarası,Avşar Film,Berdan Martini,Bülent İnal,Nejat İşler,"Cem Görgeç,Ilker Arslan,Cüneyt Bolak,Baris Erdogan	,Aycan Giritlioglu,Deniz Kamaci,Ayhan Sonyürek",Özer Kiziltan,"Kemal Sahir Güre,Hakan Yesilyurt",Drama,Action & Adventure,"Şükrü Avşar,Bahadır Atay",20,
80,12/12/2005,Kanal D,1,Seher Vakti,D Productions,Yeşim Salkım,Uğur Polat,İdil Fırat,Gül Dirican,Mehmet Çağatay Tosun,"Hilmi Yarayıcı, Nail Yurtsever",Drama,,Abdullah Oğuz,20,0
60,12/12/2005,Show TV,1,Sensiz Olmuyor,Yağmur Ajans,Okan Yalabık,Emre Altuğ,Özlem Conker,Hayal Tacirleri,Hakan Arslan ,,Drama,Romantic,Osman Yagmurdereli,20,1
30,3/3/1999,TRT 1,5,Ayrılsak da Beraberiz,MinT Production,Hakan Yılmaz,Janset,Necmi Yapıcı,"Murat Aras,Nilüfer Yenidoğan,Caner Güler,Uğur Yağcıoğlu",Sibel Kocataş,,sit-com,Family,Birol Güven,20,0
60,9/1/2003,Kanal D,1,Lise Defteri,Altioklar Film,Ece Erken,Emre Altuğ,Arda Kural,"Mustafa Altioklar,Evrensel Belgin,Tarkan Ceper,Aylin Dogan",Mustafa Altıoklar,,Comedy,Drama,Mustafa Altıoklar,20,0
60,7/14/2003,Kanal D,2,Serseri,Yağmur Ajans,Gamze Özçelik,Erkan Petekkaya,Okan Yalabık,Alican Yaraş,Cem Akyoldaş,Ali Otyam,Romantic,Drama,Osman Yağmurdereli,20,0
70,12/12/2003,Kanal D,1,Sultan Makamı,Avşar Film,Başak Köklükaya,Uğur Polat,Şevket Çoruh,Ali Ulvi Hünkar,Aydin Bulut,"Kemal Sahir Gürel	,Kazim Koyuncu",Drama,,Bahadır Atay,20,
60,3/11/2002,atv,2,Asmalı Konak,ANS Production,Özcan Deniz,Nurgül Yeşilçay,Selda Alkor,"Mahinur Ergun,Meral Okay",Çağan Irmak,,Drama,Romantic,Abdullah Oğuz,20,0
50,12/13/2002,Kanal D,1,Gülbeyaz,Eryapım,Şevval Sam,Nejat İşler,Meral Çetinkaya,"Rüya İşçileri,Meriç Demiray,Cenk Bogatur,Cem Görgeç,Barış Erdoğan",,Kazım Koyuncu,Comedy,Romantic,"	Bahadır Atay",20,0
50,12/12/2003,Star TV,1,Hürrem Sultan,,Gülben Ergen,Ali Sürmeli,Hatice Aslan,"İlhami Algör ,Hüseyin Karagöz ,Mehmet Murat Somer",Fatih Aksoy ,Rahman Altin,History,Drama,Fatih Aksoy,20,0
60,12/12/2002,TRT 1,1,Mihriban,TRT,Hülya Koçyiğit,Sevinç Gürşen Akyıldız,Lemi Filozof,"İlker Arslan,Berrin Tekdemir",Yalçın Yelence,,Drama,,Faruk Turgut,,0
60,11/26/1998,Star TV,6,Üvey Baba,Yeni Yapımlar,Şemsi İnkaya,Betül Aşçıoğlu,Burçin Abdullah,Samim Utku,Tunca Yönder,,Drama,,Tunca Yönder,,0
60,3/28/2002,Kanal D,1,Bayanlar Baylar,Ans Production,Oktay Kaynarca,Hande Ataizi,Yavuz Bingöl,Gani Müjde,Erdoğan Engin,Fikret Alper,Comedy,,Abdullah Oğuz,,0
30,12/12/1993,TRT 1,9,Bizim Mahalle,"Yağmur Ajans,TRT",Neslihan Acar,Osman Yağmurdereli,Üstün Asutay,Çetin Büyükakın,Ülkü Erakalın,"Oguz Abadan,Müjdat Akgün",Comedy,Family,Osman Yağmurdereli,20,0
90,2/27/2001,Kanal D,2,Vay Anam Vay,D Productions,Nevra Serezli,Atilla Olgaç,Sıdıka Şenocak,"Gani Müjde,Caner Güler,Uğur Yağcıoğlu",Erdoğan Engin,Güliz Asyalı,Komedi,,"	Abdullah Oğuz",,0
40,9/19/1997,atv,4,Baba Evi,Muhteşem Film,Halil Ergün,Deniz Gökçer,Sevinç Erbulak,"Neşe Cehiz, Macit Koper, Hüseyin Kuzu, Hülya Çelikezer, Filiz Terzi, Ayhan Sonyürek,","Yusuf Kurçenli, ",,Drama,Family,"İrfan Tözüm,",,1
40,3/22/2000,Kanal D,2,Eyvah Kızım Büyüdü,ANS Production,Haluk Bilginer,Yıldız Asyalı,Alp Öyken,Tayfun Güneyer,"Orhan Cesur, ",,Comedy,,"Zeynep Güzeldogu, Akin Knob, Abdullah Oguz,",,0
55,10/29/1997,Show TV,4,Örümcek,Sedine Prodüksiyon,Nilüfer Kurt,İpek Tenolcay,Betül Arım,Hüseyin Karakaş,Zeynep Tor,Özkan Turgay,Drama,Action & Adventure,Hüseyin Karakaş,,0
40,11/6/1996,atv,5,Tatlı Kaçıklar,Erler Film,Mehmet Ali Erbil,Yalçın Menteş,Buket Dereoğlu,"İhsan Aydın, Kemal Kenen Ergen, Murat Kürüz, Vasıf Küçükoruç, Atay Sözer,","Aram Gülyüz,","Özkan Turgay,",Comedy,,Türker İnanoğlu,,0
40,1/1/1998,Kanal D,2,Eyvah Babam,Doku Film,Haluk Bilginer,Yıldız Asyalı,Arda Kural,Ünal Küpeli,Ünal Küpeli,,Comedy,,,,0
45,3/1/2000,Show TV,2,Zehirli Çiçek,Erler Film,Tuğba Özay,Çağla Şıkel,Aysun Kayacı,Safa Önal,Samim Deger,,Drama,Action & Adventure,Türker Inanoglu,,0
40,2/19/1997,Star TV,4,Kara Melek,Eylül TV,Sanem Çelik,Mehmet Ali Alabora,Ece Uslu,"Nuran Devres, Kubilay Zerener",Uğur Erkır,Müjdat Akgün,Drama,Action & Adventure,"	Ertuğrul Karslıoğlu",20,0
45,7/8/1996,Kanal D,4,Çılgın Bediş,,"	Yonca Evcimik",Çiçek Dilligil,Selahattin Taşdöğen,Zeki Keskin,Ozan Aydın,Aykut Gürel,Comedy,,Ayhan Aybek,,1
